406431,0,"【推广向】Nico上百万级翻唱大合集【曲包附】","2012-12-02 01:56:38",207218,41256,2957213,66651,2279,72937,4290,1333,0,1,0,0,0,2
106611,0,"【720P+1080P】人形电脑天使心 Chobits【LITEN字幕】","2011-06-22 20:44:19",587045,41858,2927150,297365,10431,32469,8731,4828,0,189,0,0,0,2
297173,0,"【澄空】一起一起这里那里【720p】","2012-06-29 10:01:13",5965,17600,2881805,226843,4295,14484,7908,10339,0,361,0,4,0,2
137685,0,"世上最经典那段卡农，以前都是听录音，终于见到录像了！搞个彩蛋（=v=）","2011-08-29 15:20:08",196097,860,2789338,49007,8107,160203,24584,13808,0,22,0,83,0,2
437619,0,"【1月】我的朋友很少NEXT 01【动漫国&雪酷】","2013-01-11 01:11:44",274557,1468,2738940,97108,2443,1845,2803,1205,0,2,0,1,0,2
706,0,"【東方】Bad Apple!! ＰＶ【影絵】","2009-10-31 13:18:45",37,219,2699717,54170,64968,166785,35569,18640,0,88,0,42,0,2
203614,0,"哔哩哔哩2012拜年祭","2012-01-22 09:06:04",8047632,5735,2678694,476296,12867,48494,13663,570,0,27,0,15,0,2
42174,0,"【蓝光 1080P 满弹幕合集】凉宫春日的忧郁 2009版 28集全","2010-12-11 14:11:43",1403138,40047,2643950,241253,5495,43411,4795,973,0,319,0,15,0,2
106274,0,"Air【720P】【12P+总集1P+In Summer 2P全】","2011-06-22 00:57:56",245050,21690,2619656,140085,9829,14801,6250,6870,0,412,0,0,0,2
345660,0,"秋山澪与折木奉太郎的爱情故事 // Our Tapes","2012-08-27 10:46:30",528476,564,2559482,101361,31752,181964,112105,15812,0,28,0,10,0,1
156421,0,"【10月】我的朋友很少 02【雪酷】","2011-10-13 23:06:23",119978,1470,2544728,97518,791,603,1634,811,0,0,0,2,0,2
63173,0,"【オカマ】初音ミクで踊ってみた","2011-02-18 20:28:05",23832,475,2528775,306879,14660,24290,9109,8660,0,15,0,22,0,2
444552,0,"【1月】问题儿童都来自异世界？02【极影/雪酷】","2013-01-19 00:05:10",374700,2879,2494458,57924,1136,514,1960,960,0,5,0,0,0,2
432901,0,"【1月】魔王勇者 01【流云】","2013-01-05 01:09:04",19653,1440,2464374,72805,4575,2547,2666,1917,0,2,0,0,0,2
376991,0,"[修复][BDRip]传颂之物1-26+SP","2012-10-17 02:37:51",122334,42084,2419728,171970,3864,18716,4423,1138,0,89,0,5,0,2
8567,0,"【樱兰】High School Never Ends!【修复不同步】","2010-05-31 19:18:22",24261,752,2413629,760,383,5720,458,156,0,0,0,141,0,2
49037,0,"【第一季】这个是僵尸嗎 01【雪酷】","2011-01-11 01:49:37",93119,1479,2402407,124730,3744,2481,2931,6544,0,0,0,3,0,2
484877,0,"中国第一伪娘，让很多男人销魂的性感女神","2013-02-23 19:27:35",125268,134,2351950,16059,3054,10503,1290,9260,0,19,0,1,0,2
384957,0,"【10月】樱花庄的宠物女孩 04【千夏】","2012-10-30 00:59:08",52465,1439,2339269,131534,1682,696,5844,1441,0,4,0,3,0,2
